,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
5321,Sniper Elite 3,XOne,2014.0,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35,63.0,12.0,6.6,68.0,Rebellion,M
5323,NFL Street,GC,2004.0,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35,81.0,30.0,8,4.0,EA Tiburon,E
5324,Karaoke Revolution,PS2,2003.0,Misc,Konami Digital Entertainment,0.17,0.13,0.0,0.04,0.35,83.0,29.0,9.1,17.0,Harmonix Music Systems,E
5325,Metal Arms: Glitch in the System,PS2,2003.0,Shooter,Vivendi Games,0.17,0.13,0.0,0.04,0.35,81.0,28.0,8.9,17.0,Mass Media,T
5329,EverGrace,PS2,2000.0,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,59.0,12.0,7.8,4.0,From Software,T
5330,Enemy Territory: Quake Wars,PS3,2008.0,Shooter,Activision,0.23,0.07,0.0,0.04,0.35,60.0,30.0,6.4,14.0,"Z-Axis, Ltd.",T
5331,Lunar 2: Eternal Blue Complete,PS,1999.0,Role-Playing,Kadokawa Shoten,0.19,0.13,0.0,0.02,0.35,86.0,12.0,8.9,37.0,Game Arts,T
5334,MLB 06: The Show,PSP,2006.0,Sports,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.35,83.0,30.0,8.5,32.0,SCEA San Diego Studios,E
5335,Over the Hedge,GC,2006.0,Platform,Activision,0.27,0.07,0.0,0.01,0.35,61.0,21.0,9.3,6.0,Edge of Reality,E10+
5337,Charlie and the Chocolate Factory,PS2,2005.0,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35,35.0,21.0,4.1,28.0,"High Voltage Software, Backbone Entertainment",E
5338,TrackMania Turbo,PS4,2016.0,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,52.0,7.9,110.0,Nadeo,E
5341,Tiger Woods PGA Tour 12: The Masters,Wii,2011.0,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34,85.0,14.0,6.7,7.0,Electronic Arts,E
5342,Def Jam Icon,X360,2007.0,Action,Electronic Arts,0.3,0.01,0.0,0.03,0.34,69.0,48.0,6.3,108.0,EA Chicago,M
5347,Dynasty Warriors 5 Empires,PS2,2006.0,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,62.0,23.0,9.1,24.0,Omega Force,T
5348,Call of Duty: Ghosts,WiiU,2013.0,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,6.0,3.4,256.0,Treyarch,M
5349,Transformers: Dark of the Moon,PS3,2011.0,Action,Activision,0.11,0.18,0.0,0.06,0.34,57.0,41.0,5.6,27.0,High Moon Studios,T
5350,SoulCalibur,DC,1999.0,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,98.0,24.0,8.8,200.0,Namco,T
5351,WipEout 3,PS,1999.0,Racing,Psygnosis,0.19,0.13,0.0,0.02,0.34,89.0,14.0,8.5,15.0,Psygnosis,E
5356,WWE '12,Wii,2011.0,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,Yuke's,T
5357,WWE All Stars,X360,2011.0,Fighting,THQ,0.18,0.14,0.0,0.03,0.34,75.0,64.0,7.2,45.0,THQ,T
5358,Mini Ninjas,PS3,2009.0,Action,Eidos Interactive,0.14,0.15,0.0,0.06,0.34,73.0,37.0,8.7,62.0,Io Interactive,E10+
5359,Tekken Tag Tournament 2,X360,2012.0,Fighting,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,83.0,35.0,7.5,90.0,Namco Bandai Games,T
5361,Driver 2 Advance,GBA,2002.0,Action,Atari,0.25,0.09,0.0,0.01,0.34,73.0,9.0,6.6,14.0,Sennari Interactive,T
